Data_padrao;SÃO PAULO;Valor
2011-06-01;INDUSTRIAL;4710674.0
2011-06-01;OUTROS;1143179.0
2011-06-01;RESIDENCIAL;2924865.0
2011-06-01;TOTAL;10660149.0
2011-07-01;COMERCIAL;1854040.0
2011-07-01;INDUSTRIAL;4658259.0
2011-07-01;OUTROS;1147917.0
2011-07-01;RESIDENCIAL;3002206.0
2011-07-01;TOTAL;10662422.0
2011-08-01;COMERCIAL;1920489.0
2011-08-01;INDUSTRIAL;4785977.0
2011-08-01;OUTROS;1208762.0
2011-08-01;RESIDENCIAL;3006602.0
2011-08-01;TOTAL;10921830.0
2011-09-01;COMERCIAL;2042227.0
2011-09-01;INDUSTRIAL;4849895.0
2011-09-01;OUTROS;1279421.0
2011-09-01;RESIDENCIAL;3137864.0
2011-09-01;TOTAL;11309407.0
2011-10-01;COMERCIAL;2026703.0
2011-10-01;INDUSTRIAL;4755915.0
2011-10-01;OUTROS;1242182.0
2011-10-01;RESIDENCIAL;3027007.0
2011-10-01;TOTAL;11051807.0
2011-11-01;COMERCIAL;2052934.0
2011-11-01;INDUSTRIAL;4783764.0
2011-11-01;OUTROS;1203081.0
2011-11-01;RESIDENCIAL;2998118.0
2011-11-01;TOTAL;11037897.0
2011-12-01;COMERCIAL;2114706.0
2011-12-01;INDUSTRIAL;4683940.0
2011-12-01;OUTROS;1186852.0
2011-12-01;RESIDENCIAL;3005043.0
2011-12-01;TOTAL;10990541.0
2012-01-01;COMERCIAL;2089022.0
2012-01-01;INDUSTRIAL;4352532.0
2012-01-01;OUTROS;1140907.0
2012-01-01;RESIDENCIAL;3078192.0
2012-01-01;TOTAL;10660653.0
2012-02-01;COMERCIAL;2127238.0
2012-02-01;INDUSTRIAL;4566183.0
2012-02-01;OUTROS;1169036.0
2012-02-01;RESIDENCIAL;3051458.0
2012-02-01;TOTAL;10913915.0
2012-03-01;COMERCIAL;2302532.0
2012-03-01;INDUSTRIAL;4671720.0
2012-03-01;OUTROS;1206087.0
2012-03-01;RESIDENCIAL;3184244.0
2012-03-01;TOTAL;11364583.0
2012-04-01;COMERCIAL;2306903.0
2012-04-01;INDUSTRIAL;4840517.0
2012-04-01;OUTROS;1264215.0
2012-04-01;RESIDENCIAL;3238470.0
2012-04-01;TOTAL;11650105.0
2012-05-01;COMERCIAL;2064179.0
2012-05-01;INDUSTRIAL;4607812.0
2012-05-01;OUTROS;1183965.0
2012-05-01;RESIDENCIAL;3039117.0
2012-05-01;TOTAL;10895073.0
2012-06-01;COMERCIAL;2061323.0
2012-06-01;INDUSTRIAL;4687585.0
2012-06-01;OUTROS;1183327.0
2012-06-01;RESIDENCIAL;3163701.0
2012-06-01;TOTAL;11095936.0
2012-07-01;COMERCIAL;1921554.0
2012-07-01;INDUSTRIAL;4542028.0
2012-07-01;OUTROS;1117726.0
2012-07-01;RESIDENCIAL;3002898.0
2012-07-01;TOTAL;10584206.0
2012-08-01;COMERCIAL;2003427.0
2012-08-01;INDUSTRIAL;4686548.0
2012-08-01;OUTROS;1184523.0
2012-08-01;RESIDENCIAL;3095647.0
2012-08-01;TOTAL;10970145.0
2012-09-01;COMERCIAL;2177204.0
2012-09-01;INDUSTRIAL;4765761.0
2012-09-01;OUTROS;1320300.0
2012-09-01;RESIDENCIAL;3216773.0
2012-09-01;TOTAL;11480038.0
2012-10-01;COMERCIAL;2155608.0
2012-10-01;INDUSTRIAL;4697326.0
2012-10-01;OUTROS;1276366.0
2012-10-01;RESIDENCIAL;3142063.0
2012-10-01;TOTAL;11271363.0
2012-11-01;COMERCIAL;2353543.0
2012-11-01;INDUSTRIAL;4740378.0
2012-11-01;OUTROS;1291390.0
2012-11-01;RESIDENCIAL;3296854.0
2012-11-01;TOTAL;11682165.0
2012-12-01;COMERCIAL;2308213.0
2012-12-01;INDUSTRIAL;4469961.0
2012-12-01;OUTROS;1225006.0
2012-12-01;RESIDENCIAL;3170896.0
2012-12-01;TOTAL;11174076.0
2013-01-01;COMERCIAL;2324194.0
2013-01-01;INDUSTRIAL;4257677.0
2013-01-01;OUTROS;1200871.0
2013-01-01;RESIDENCIAL;3336894.0
2013-01-01;TOTAL;11119636.0
2013-02-01;COMERCIAL;2292030.0
2013-02-01;INDUSTRIAL;4624135.0
2013-02-01;OUTROS;1157724.0
2013-02-01;RESIDENCIAL;3293154.0
2013-02-01;TOTAL;11367043.0
2013-03-01;COMERCIAL;2327055.0
2013-03-01;INDUSTRIAL;4580020.0
2013-03-01;OUTROS;1191237.0
2013-03-01;RESIDENCIAL;3178704.0
2013-03-01;TOTAL;11277016.0
2013-04-01;COMERCIAL;2276594.0
2013-04-01;INDUSTRIAL;4714130.0
2013-04-01;OUTROS;1213844.0
2013-04-01;RESIDENCIAL;3223864.0
2013-04-01;TOTAL;11428432.0
2013-05-01;COMERCIAL;2192384.0
2013-05-01;INDUSTRIAL;4710262.0
2013-05-01;OUTROS;1225184.0
2013-05-01;RESIDENCIAL;3196726.0
2013-05-01;TOTAL;11324556.0
2013-06-01;COMERCIAL;2122055.0
2013-06-01;INDUSTRIAL;4611653.0
2013-06-01;OUTROS;1203440.0
2013-06-01;RESIDENCIAL;3212287.0
2013-06-01;TOTAL;11149435.0
2013-07-01;COMERCIAL;2071810.0
2013-07-01;INDUSTRIAL;4591068.0
2013-07-01;OUTROS;1186133.0
2013-07-01;RESIDENCIAL;3160677.0
2013-07-01;TOTAL;11009688.0
2013-08-01;COMERCIAL;2068582.0
2013-08-01;INDUSTRIAL;4690540.0
2013-08-01;OUTROS;1192028.0
2013-08-01;RESIDENCIAL;3218118.0
2013-08-01;TOTAL;11169268.0
2013-09-01;COMERCIAL;2231529.0
2013-09-01;INDUSTRIAL;4673717.0
2013-09-01;OUTROS;1284257.0
2013-09-01;RESIDENCIAL;3222768.0
2013-09-01;TOTAL;11412271.0
2013-10-01;COMERCIAL;2331562.0
2013-10-01;INDUSTRIAL;4730486.0
2013-10-01;OUTROS;1269462.0
2013-10-01;RESIDENCIAL;3237625.0
2013-10-01;TOTAL;11569135.0
2013-11-01;COMERCIAL;2462167.0
2013-11-01;INDUSTRIAL;4787642.0
2013-11-01;OUTROS;1277194.0
2013-11-01;RESIDENCIAL;3273022.0
2013-11-01;TOTAL;11800025.0
2013-12-01;COMERCIAL;2563194.0
2013-12-01;INDUSTRIAL;4579086.0
2013-12-01;OUTROS;1246709.0
2013-12-01;RESIDENCIAL;3228839.0
2013-12-01;TOTAL;11617828.0
2014-01-01;COMERCIAL;2599179.0
2014-01-01;INDUSTRIAL;4187957.0
2014-01-01;OUTROS;1271555.0
2014-01-01;RESIDENCIAL;3461696.0
2014-01-01;TOTAL;11520387.0
2014-02-01;COMERCIAL;2765679.0
2014-02-01;INDUSTRIAL;4551544.0
